date,nicfi_tif_2024,nicfi_jpg,sentinel_tif_2024,sentinel_jpg
202410,9,0,0,0
202409,1212,11,0,0
202408,1212,7,0,0
202407,1212,1212,3480,0
202406,1212,1206,3618,3618
202405,1212,1207,3618,3619
202404,1212,1206,3618,3619
202403,1212,1207,3618,3620
202402,1212,1206,3618,3621
202401,1212,1206,3618,3618
202312,0,0,0,0
202311,0,0,0,0
202310,0,0,0,0
202309,0,0,0,0
202308,0,0,0,0
202307,0,0,0,0
202306,0,0,0,0
202305,0,0,0,0
202304,0,0,0,0
202303,0,0,0,0
202302,0,0,0,0
202301,0,0,0,0
